Name	Type 1	Type 2	HP	Total	Total	Total	Total	Attack	Defense	Sp. Atk	Sp. Def	Speed	Generation	Legendary
Barbaracle	Rock	Water	72	500	500	500	500	105	115	54	86	68	6	False
Skrelp	Poison	Water	50	320	320	320	320	60	60	60	60	30	6	False
Dragalge	Poison	Dragon	65	494	494	494	494	75	90	97	123	44	6	False
Clauncher	Water		50	330	330	330	330	53	62	58	63	44	6	False
Clawitzer	Water		71	500	500	500	500	73	88	120	89	59	6	False
Helioptile	Electric	Normal	44	289	289	289	289	38	33	61	43	70	6	False
Heliolisk	Electric	Normal	62	481	481	481	481	55	52	109	94	109	6	False
Tyrunt	Rock	Dragon	58	362	362	362	362	89	77	45	45	48	6	False
Tyrantrum	Rock	Dragon	82	521	521	521	521	121	119	69	59	71	6	False
Amaura	Rock	Ice	77	362	362	362	362	59	50	67	63	46	6	False
Aurorus	Rock	Ice	123	521	521	521	521	77	72	99	92	58	6	False
Sylveon	Fairy		95	525	525	525	525	65	65	110	130	60	6	False
Hawlucha	Fighting	Flying	78	500	500	500	500	92	75	74	63	118	6	False
Dedenne	Electric	Fairy	67	431	431	431	431	58	57	81	67	101	6	False
Carbink	Rock	Fairy	50	500	500	500	500	50	150	50	150	50	6	False
Goomy	Dragon		45	300	300	300	300	50	35	55	75	40	6	False
Sliggoo	Dragon		68	452	452	452	452	75	53	83	113	60	6	False
Goodra	Dragon		90	600	600	600	600	100	70	110	150	80	6	False
Klefki	Steel	Fairy	57	470	470	470	470	80	91	80	87	75	6	False
Phantump	Ghost	Grass	43	309	309	309	309	70	48	50	60	38	6	False
Trevenant	Ghost	Grass	85	474	474	474	474	110	76	65	82	56	6	False
PumpkabooAverage Size	Ghost	Grass	49	335	335	335	335	66	70	44	55	51	6	False
PumpkabooSmall Size	Ghost	Grass	44	335	335	335	335	66	70	44	55	56	6	False
PumpkabooLarge Size	Ghost	Grass	54	335	335	335	335	66	70	44	55	46	6	False
PumpkabooSuper Size	Ghost	Grass	59	335	335	335	335	66	70	44	55	41	6	False
GourgeistAverage Size	Ghost	Grass	65	494	494	494	494	90	122	58	75	84	6	False
GourgeistSmall Size	Ghost	Grass	55	494	494	494	494	85	122	58	75	99	6	False
GourgeistLarge Size	Ghost	Grass	75	494	494	494	494	95	122	58	75	69	6	False
GourgeistSuper Size	Ghost	Grass	85	494	494	494	494	100	122	58	75	54	6	False
Bergmite	Ice		55	304	304	304	304	69	85	32	35	28	6	False
Avalugg	Ice		95	514	514	514	514	117	184	44	46	28	6	False
Noibat	Flying	Dragon	40	245	245	245	245	30	35	45	40	55	6	False
Noivern	Flying	Dragon	85	535	535	535	535	70	80	97	80	123	6	False
Xerneas	Fairy		126	680	680	680	680	131	95	131	98	99	6	True
Yveltal	Dark	Flying	126	680	680	680	680	131	95	131	98	99	6	True
Zygarde50% Forme	Dragon	Ground	108	600	600	600	600	100	121	81	95	95	6	True
Diancie	Rock	Fairy	50	600	600	600	600	100	150	100	150	50	6	True
DiancieMega Diancie	Rock	Fairy	50	700	700	700	700	160	110	160	110	110	6	True
HoopaHoopa Confined	Psychic	Ghost	80	600	600	600	600	110	60	150	130	70	6	True
HoopaHoopa Unbound	Psychic	Dark	80	680	680	680	680	160	60	170	130	80	6	True
Volcanion	Fire	Water	80	600	600	600	600	110	120	130	90	70	6	True
